annee;secteur;pop_femmes;pop_total;part_femmes
2017;Activités financières et assurance;511.6;864.4;59.2
2017;Activités informatiques;108.9;430.7;25.3
2017;Activités spécialisées et soutien;1232.8;2649.5;46.5
2017;Admin. publique, enseignement, santé;5742.1;8327.7;69.0
2017;Agriculture, sylviculture et pêche;205.7;697.9;29.5
2017;Commerce, transports, hébergement;2449.9;5933.0;41.3
2017;Construction;194.4;1740.3;11.2
2017;Hébergement médico-social, action sociale;1711.6;2046.4;83.6
2017;Industrie (total);1079.4;3699.1;29.2
2017;Information et communication;243.0;790.8;30.7
2017;Santé humaine;1435.6;1915.7;74.9
2017;Transports et entreposage;378.8;1452.3;26.1
2018;Activités financières et assurance;515.9;889.0;58.0
2018;Activités informatiques;113.6;453.6;25.0
2018;Activités spécialisées et soutien;1273.9;2713.4;46.9
2018;Admin. publique, enseignement, santé;5759.8;8361.3;68.9
2018;Agriculture, sylviculture et pêche;181.3;670.4;27.0
2018;Commerce, transports, hébergement;2484.3;5934.3;41.9
2018;Construction;207.4;1807.6;11.5
2018;Hébergement médico-social, action sociale;1690.6;2020.0;83.7
2018;Industrie (total);1046.4;3616.4;28.9
2018;Information et communication;253.7;826.9;30.7
2018;Santé humaine;1441.7;1940.0;74.3
2018;Transports et entreposage;354.8;1431.9;24.8
2019;Activités financières et assurance;518.7;916.1;56.6
2019;Activités informatiques;128.4;501.5;25.6
2019;Activités spécialisées et soutien;1284.8;2687.0;47.8
2019;Admin. publique, enseignement, santé;5832.9;8472.7;68.8
2019;Agriculture, sylviculture et pêche;195.4;678.3;28.8
2019;Commerce, transports, hébergement;2448.0;5830.9;42.0
2019;Construction;190.8;1823.5;10.5
2019;Hébergement médico-social, action sociale;1622.2;1937.3;83.7
2019;Industrie (total);1057.9;3645.6;29.0
2019;Information et communication;272.7;874.2;31.2
2019;Santé humaine;1508.5;2029.2;74.3
2019;Transports et entreposage;362.3;1411.3;25.7
2020;Activités financières et assurance;536.7;961.3;55.8
2020;Activités informatiques;142.2;541.4;26.3
2020;Activités spécialisées et soutien;1287.5;2696.5;47.7
2020;Admin. publique, enseignement, santé;5879.5;8551.7;68.8
2020;Agriculture, sylviculture et pêche;186.0;625.7;29.7
2020;Commerce, transports, hébergement;2434.4;5775.1;42.2
2020;Construction;200.0;1797.4;11.1
2020;Hébergement médico-social, action sociale;1571.8;1899.8;82.7
2020;Industrie (total);1001.9;3517.8;28.5
2020;Information et communication;290.4;934.4;31.1
2020;Santé humaine;1511.3;2022.1;74.7
2020;Transports et entreposage;356.9;1385.0;25.8
2021;Activités financières et assurance;573.3;1007.2;56.9
2021;Activités informatiques;159.0;572.6;27.8
2021;Activités spécialisées et soutien;1376.2;2906.1;47.4
2021;Admin. publique, enseignement, santé;5787.7;8348.4;69.3
2021;Agriculture, sylviculture et pêche;191.5;675.9;28.3
2021;Commerce, transports, hébergement;2485.0;5941.2;41.8
2021;Construction;226.2;1779.0;12.7
2021;Hébergement médico-social, action sociale;1626.5;1970.9;82.5
2021;Industrie (total);1059.9;3482.6;30.4
2021;Information et communication;311.0;989.9;31.4
2021;Santé humaine;1444.9;1912.8;75.5
2021;Transports et entreposage;366.8;1420.6;25.8
2022;Activités financières et assurance;539.4;955.4;56.5
2022;Activités informatiques;159.4;576.2;27.7
2022;Activités spécialisées et soutien;1461.7;3057.7;47.8
2022;Admin. publique, enseignement, santé;5833.8;8451.1;69.0
2022;Agriculture, sylviculture et pêche;214.5;722.1;29.7
2022;Commerce, transports, hébergement;2655.2;6293.5;42.2
2022;Construction;235.1;1838.6;12.8
2022;Hébergement médico-social, action sociale;1661.2;1982.5;83.8
2022;Industrie (total);1100.5;3535.3;31.1
2022;Information et communication;297.3;977.2;30.4
2022;Santé humaine;1490.7;1979.7;75.3
2022;Transports et entreposage;384.0;1443.9;26.6
2023;Activités financières et assurance;534.6;941.9;56.8
2023;Activités informatiques;180.2;626.9;28.7
2023;Activités spécialisées et soutien;1593.3;3242.9;49.1
2023;Admin. publique, enseignement, santé;5997.4;8752.3;68.5
2023;Agriculture, sylviculture et pêche;223.8;710.0;31.5
2023;Commerce, transports, hébergement;2603.3;6228.6;41.8
2023;Construction;236.8;1812.3;13.1
2023;Hébergement médico-social, action sociale;1683.6;2020.9;83.3
2023;Industrie (total);1129.7;3641.6;31.0
2023;Information et communication;320.0;1013.5;31.6
2023;Santé humaine;1549.2;2056.8;75.3
2023;Transports et entreposage;381.9;1445.7;26.4
2024;Activités financières et assurance;540.8;973.8;55.5
2024;Activités informatiques;178.3;639.8;27.9
2024;Activités spécialisées et soutien;1604.9;3251.1;49.4
2024;Admin. publique, enseignement, santé;5903.4;8580.1;68.8
2024;Agriculture, sylviculture et pêche;201.1;681.5;29.5
2024;Commerce, transports, hébergement;2664.9;6367.6;41.9
2024;Construction;244.4;1909.1;12.8
2024;Hébergement médico-social, action sociale;1610.1;1943.5;82.8
2024;Industrie (total);1123.5;3656.1;30.7
2024;Information et communication;324.3;1034.7;31.3
2024;Santé humaine;1507.0;1992.0;75.7
2024;Transports et entreposage;366.8;1460.0;25.1
